Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,DA,CB,BWO,Timestamp,G_Sparsity_L0,G_Sparsity_L1,G_Sparsity_Total
1,2.1123,20.5,1.9373,26.4,0.326,0.000,0,2026-05-26 00:28:44,,,
2,1.9171,26.4,1.8131,28.5,0.306,0.000,0,2026-05-26 00:49:11,,,
3,1.7561,29.7,1.6418,33.5,0.276,0.000,0,2026-05-26 01:09:28,,,
4,1.6522,32.5,2.6208,15.4,0.603,0.000,0,2026-05-26 01:29:47,,,
5,1.6011,34.4,2.3636,18.2,0.509,0.000,1,2026-05-26 01:50:09,0.00,0.00,0.00
6,1.5587,36.1,1.5922,34.1,0.265,0.000,0,2026-05-26 02:11:58,,,
7,1.4991,38.6,1.5109,36.5,0.264,0.000,0,2026-05-26 02:33:52,,,
8,1.4470,40.9,1.4015,42.6,0.255,0.000,0,2026-05-26 02:55:53,,,
9,1.4099,42.8,1.3440,46.9,0.261,0.000,0,2026-05-26 03:17:56,,,
10,1.3692,44.9,1.3062,47.1,0.272,0.000,1,2026-05-26 03:39:49,4.90,4.90,4.90
11,1.3192,47.3,1.2417,49.0,0.274,0.000,0,2026-05-26 04:01:49,,,
12,1.2659,49.5,1.1762,53.4,0.275,0.000,0,2026-05-26 04:22:09,,,
13,1.1967,52.2,1.1928,51.4,0.298,0.000,0,2026-05-26 04:42:26,,,
14,1.1002,56.0,1.0512,58.4,0.276,0.000,0,2026-05-26 05:03:14,,,
15,1.0930,56.5,1.0536,57.8,0.295,0.000,1,2026-05-26 05:25:13,4.90,4.90,4.90
16,1.0722,57.3,1.0430,58.3,0.309,0.000,0,2026-05-26 05:47:07,,,
17,1.0467,58.5,1.0397,58.3,0.323,0.000,0,2026-05-26 06:08:41,,,
18,1.0185,59.6,0.9336,63.6,0.306,0.000,0,2026-05-26 06:29:01,,,
19,1.0154,59.8,0.9388,62.4,0.323,0.000,0,2026-05-26 06:49:20,,,
20,0.9958,60.7,0.9769,61.3,0.349,0.000,1,2026-05-26 07:10:19,4.90,4.90,4.90
21,0.9858,61.2,0.9021,64.0,0.337,0.000,0,2026-05-26 07:32:09,,,
22,1.0107,60.2,0.9499,61.8,0.366,0.000,0,2026-05-26 07:54:04,,,
23,1.0063,60.4,0.8922,64.4,0.356,0.000,0,2026-05-26 08:16:17,,,
24,1.0028,60.6,1.1131,57.1,0.451,0.000,0,2026-05-26 08:38:19,,,
25,0.9926,61.0,1.1900,55.1,0.485,0.000,1,2026-05-26 08:59:31,4.90,4.90,4.90
