Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,DA_Est,Notes
1,2.714,9.4,,,0.50,Initial
2,2.038,25.0,,,0.45,Fast learning
3,1.636,28.1,,,0.35,Stable drop
4,1.489,37.5,,,0.24,DA min
5,2.074,17.2,,,0.25,Jump after BWO
6,4.260,25.0,,,0.28,Severe jump
7,3.855,28.1,,,0.24,Recovering
8,2.178,26.6,,,0.31,Pre-restore
9,1.155,56.6,,,0.31,Restored
10,0.970,65.3,,,0.28,Post-fix stable
11,0.955,67.0,,,0.26,No jump
12,1.022,66.2,,,0.28,Smooth
13,0.868,73.0,,,0.25,Plateau start
14,0.825,73.9,,,0.26,
15,0.814,74.1,,,0.27,
16,0.801,74.2,,,0.27,
17,0.791,74.4,,,0.28,
18,0.783,74.6,,,0.28,
19,0.777,74.7,,,0.28,
20,0.767,74.7,,,0.28,
21,0.764,74.8,,,0.28,Peak Acc
22,0.761,74.8,,,0.28,Best point
23,0.767,74.6,,,0.29,Decline start
24,0.779,74.7,,,0.29,
25,0.799,74.0,2.307,55.7,0.30,Overfitting
26,0.804,73.9,,,0.30,Early stopped
