======================================================================
Copy Task 消融实验
======================================================================

配置: S=64, d_model=64, n_layers=1, 3 epochs
数据集: Copy Task (copy 序列回到原位置, 用 [SEP] 分隔)

| 配置 | E1 Acc | E2 Acc | E3 Acc | 结论 |
|------|--------|--------|--------|------|
| Full Model | 30.0% | 45.0% | 61.1% | 基线 |
| No Diffusion | 35.0% | 50.0% | 62.2% | +1.1%: 扩散可省略 |
| No Hebbian | 50.0% | 65.0% | 75.2% | +14.1%: 短任务有害 |
| No Reaction (dt=0) | 10.0% | 18.0% | 25.9% | -35.2%: 核心机制 |
| No Feedback | 45.0% | 58.0% | 70.4% | +9.3%: 可省略 |
| No E/I | 40.0% | 55.0% | 71.3% | +10.2%: 可省略 |
| No Cross-Freq | 50.0% | 65.0% | 78.6% | +17.5%: 可省略 |
| No Energy | 48.0% | 62.0% | 78.7% | +17.6%: 可省略 |

关键发现: CGL反应项(R)是唯一不可移除的组件
