Epoch,DA,CB,G_Sparsity_Total,G_Sparsity_L0,G_Sparsity_L1,BWO_Executed
1,0.326,0.000,,,,0
2,0.306,0.000,,,,0
3,0.276,0.000,,,,0
4,0.603,0.000,,,,0
5,0.509,0.000,0.00,0.00,0.00,1
6,0.265,0.000,,,,0
7,0.264,0.000,,,,0
8,0.255,0.000,,,,0
9,0.261,0.000,,,,0
10,0.272,0.000,4.90,4.90,4.90,1
11,0.274,0.000,,,,0
12,0.275,0.000,,,,0
13,0.298,0.000,,,,0
14,0.276,0.000,,,,0
15,0.295,0.000,4.90,4.90,4.90,1
16,0.309,0.000,,,,0
17,0.323,0.000,,,,0
18,0.306,0.000,,,,0
19,0.323,0.000,,,,0
20,0.349,0.000,4.90,4.90,4.90,1
21,0.337,0.000,,,,0
22,0.366,0.000,,,,0
23,0.356,0.000,,,,0
24,0.451,0.000,,,,0
25,0.485,0.000,4.90,4.90,4.90,1
